"Robert L. Breen","Ameriprise Financial","Wells Fargo Advisors","$63","12-03-2014"
"Hulon B. Whatley","Ameriprise Financial","LPL Financial","$66","12-03-2014"
"James G. Osborne","Ameriprise Financial","Wells Fargo Advisors","$88","12-03-2014"
"Chad R. Barber","Ameriprise Financial","Edward Jones","$70","12-03-2014"
"Mitchell R. McCann","Ameriprise Financial","Raymond James","$107","12-03-2014"
"Darrach Bourke","Summit Brokerage Services","Stifel Nicolaus & Co.","$121","12-02-2014"
"Samuel W. Spanos, Gennaro 'Jerry' Marsico, Todd C. Todorich, Robert M. Lewis, George Kruth, Mark O","Raymond James","Bank of America Merrill Lynch","$535","12-02-2014"
"Dan Foran, John Foran, Jessica Foran, Brian M. Sweatt, Mark Z. Walters","Raymond James","LPL Financial","$200","12-02-2014"
"Breton W. Williams","Stratos Wealth Partners","NYLIFE Securities","$80","12-02-2014"
"Oliver Ernst","SAGE Private Wealth Group","Ameriprise Financial","$60","12-02-2014"
"Michael W. Frank","SAGE Private Wealth Group","LPL Financial","$100","12-02-2014"
"Christopher Carbone, Charles Sergewick ","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$200","11-24-2014"
"Edward J. Viola","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$83","11-24-2014"
"Richard Zinman ","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$104","11-24-2014"
"Brian Coughlan, Landen Lunsway, Chris Palermo, Andrew Reinhardt","Beacon Pointe Wealth Advisors","Capital Investment Counsel","$500","11-21-2014"
"James E. Hulburd","UBS Financial Services","Bank of America Merrill Lynch","$1,500","11-21-2014"
"Steven Scalici","UBS Financial Services","Bank of America Merrill Lynch","$103","11-21-2014"
"Douglas Twohill","UBS Financial Services","Bank of America Merrill Lynch","$240","11-21-2014"
"John M. Van Donge","Stifel Nicolaus & Co.","Bank of America Merrill Lynch","$600","11-21-2014"
"Brian Brice, Tim Brice","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$4,500","11-20-2014"
"Ricardo Guerrero","Bank of America Merrill Lynch","JPMorgan Chase & Co.","$100","11-19-2014"
"Jay Higgenbotham","Bank of America Merrill Lynch","Raymond James","$225","11-19-2014"
"Marcello Cutrupi","Investacorp","Sterne Agee & Leach","$50","11-19-2014"
"Robert 'Bob' Pehl, Lynne Pehl","Raymond James","Morgan Stanley Wealth Management","$265","11-19-2014"
"Trenton K. Morton, Scott L. Hitchcock","Raymond James","D.A. Davidson & Co.","$290","11-19-2014"
"John R. Holland","Summit Brokerage Services","Securities Management and Research","$60","11-19-2014"
"Brian P. Beck","Triad Advisors","National Planning","$133","11-19-2014"
"Stewart Oldfield","Deutsche Bank","Credit Suisse Wealth Services","$0","11-12-2014"
"Charles Walker","Deutsche Bank","Citigroup","$0","11-12-2014"
"Heather Kirby","Deutsche Bank","Citigroup","$0","11-12-2014"
"John Azodi, Jim Linderer, Debbie Rulon","Berthel Fisher","Brokers International","$70","11-12-2014"
"David H. Bryan","Summit Brokerage Services","Axa Advisors","$50","11-12-2014"
"Mike Reed, Zach Gates, Eli Strait","Wells Fargo Advisors","JPMorgan Chase & Co.","$972","11-10-2014"
"Will Dietz","Commonwealth Financial Network","RBC Wealth Management","$60","11-10-2014"
"Daniel P. Thompson, Matt Rittenhouse, Alyson Frantz","RBC Wealth Management","Bank of America Merrill Lynch","$103","11-10-2014"
"Nadia A. Dickinson","NFP Advisor Services Group","Morgan Stanley Wealth Management","$100","11-10-2014"
"Kevin D. Laurie","Deutsche Bank","Barclays","$0","11-10-2014"
"Richard A. Gibson, Jr.","Stratos Wealth Partners","Wells Fargo Advisors","$120","11-04-2014"
"Todd D. Watson","RBC Wealth Management","Wells Fargo Advisors","$116","11-04-2014"
"Clay Skurdal, Brent Lee, Brion Norby","Lebenthal Wealth Advisors","Concert Wealth Management; TruWealth Financial","$0","11-04-2014"
"Marc G. Linsky","Summit Brokerage Services","Lincoln Financial","$170","11-04-2014"
"Charles A. Smith","Ameriprise Financial","LPL Financial","$165","11-04-2014"
"Lance Nelson","Commonwealth Financial Network","LPL Financial","$92","10-30-2014"
"Robert Phelps","Morgan Stanley Wealth Management","UBS Financial Services","$90","10-24-2014"
"Michael Zalkind, John Williams","Morgan Stanley Wealth Management","JPMorgan Chase & Co.","$175","10-24-2014"
"Thomas Forma, Kevin Nichols","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$300","10-24-2014"
"Kanwar Singh, Rajeev Rathi, Steve Coleman","Bank of America Merrill Lynch","UBS Financial Services","$500","10-24-2014"
"James Fowkes, Ben Plata","Steward Partners Global Advisory","Wells Fargo Advisors","$200","10-24-2014"
"Stephen S. Brown, James P. Goetz","Stifel Nicolaus & Co.","Bank of America Merrill Lynch","$2,500","10-20-2014"
"Leonard Sykes","Waddell and Reed","RBC Wealth Management","$55","10-17-2014"
"Brian Armogida","Waddell and Reed","Edward Jones","$78","10-17-2014"
